Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,Segment,Segment8
chevrolet chevelle malibu,18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1.0,Seg01,SegA
buick skylark 320,15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1.0,Seg02,SegB
plymouth satellite,18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1.0,Seg03,SegC
amc rebel sst,16.0,8.0,304.0,150.0,3433.0,12.0,70.0,1.0,Seg04,SegD
ford torino,17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1.0,Seg05,SegE
ford galaxie 500,15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1.0,Seg06,SegF
chevrolet impala,14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1.0,Seg07,SegG
plymouth fury iii,14.0,8.0,440.0,215.0,4312.0,8.5,70.0,1.0,Seg08,SegH
pontiac catalina,14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1.0,Seg09,SegA
amc ambassador dpl,15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1.0,Seg10,SegB
citroen ds-21 pallas,NaN,4.0,133.0,115.0,3090.0,17.5,70.0,2.0,Seg11,SegC
chevrolet chevelle concours (sw),NaN,8.0,350.0,165.0,4142.0,11.5,70.0,1.0,Seg12,SegD
ford torino (sw),NaN,8.0,351.0,153.0,4034.0,11.0,70.0,1.0,Seg01,SegE
plymouth satellite (sw),NaN,8.0,383.0,175.0,4166.0,10.5,70.0,1.0,Seg02,SegF
amc rebel sst (sw),NaN,8.0,360.0,175.0,3850.0,11.0,70.0,1.0,Seg03,SegG
dodge challenger se,15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1.0,Seg04,SegH
plymouth 'cuda 340,14.0,8.0,340.0,160.0,3609.0,8.0,70.0,1.0,Seg05,SegA
ford mustang boss 302,NaN,8.0,302.0,140.0,3353.0,8.0,70.0,1.0,Seg06,SegB
chevrolet monte carlo,15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1.0,Seg07,SegC
buick estate wagon (sw),14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1.0,Seg08,SegD
toyota corona mark ii,24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3.0,Seg09,SegE
plymouth duster,22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1.0,Seg10,SegF
amc hornet,18.0,6.0,199.0,97.0,2774.0,15.5,70.0,1.0,Seg11,SegG
ford maverick,21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1.0,Seg12,SegH
datsun pl510,27.0,4.0,97.0,88.0,2130.0,14.5,70.0,3.0,Seg01,SegA
volkswagen 1131 deluxe sedan,26.0,4.0,97.0,46.0,1835.0,20.5,70.0,2.0,Seg02,SegB
peugeot 504,25.0,4.0,110.0,87.0,2672.0,17.5,70.0,2.0,Seg03,SegC
audi 100 ls,24.0,4.0,107.0,90.0,2430.0,14.5,70.0,2.0,Seg04,SegD
